exampleConf,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,
N,40,,40,,40,,40,,40,,40,,40,,40,,40,,200,,200,,200,,200,,200,,200,,200,,200,
rkOrder,1,,1,,4,,4,,1,,1,,2,,3,,4,,1,,1,,2,,2,,3,,3,,4,,4,
ref,1,,2,,1,,2,,1,,2,,1,,1,,1,,1,,2,,1,,2,,1,,2,,1,,2,
deviation,0.2,,0.2,,0.2,,0.2,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,
alg,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,sqp,,,,,,,,,
OptimErr,1.00E-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error,iter,rel error
,53,0.039,148,0.0674,74,0.089,85,0.0866,93,0.1334,128,0.1115,110,0.2015,113,0.179,123,0.1137,21,0.5254,90,0.3251234889,22,0.4093705894,23,0.465123685,21,0.3560483892,65,0.3570768729,39,0.4221093556,23,0.3606335422
,85,0.1029,74,0.1373,95,0.076,67,0.1241,120,0.1345,164,0.274,147,0.4636,96,0.2002,88,0.3579,45,0.3085,23,0.3633052424,21,0.5119086008,30,0.5346335257,21,0.5348643855,20,0.4500810375,37,0.5359038994,76,0.1466223498
,89,0.0739,52,0.1048,70,0.0528,94,0.0307,119,0.1002,143,0.0875,109,0.2756,135,0.2592,64,0.0249,31,0.202,78,0.2323485333,20,0.3844892655,129,0.1693802259,38,0.400617293,17,0.3100272001,30,0.2952144132,27,0.3099750982
,79,0.0957,96,0.0548,111,0.0685,70,0.0509,110,0.2027,138,0.0906,96,0.0806,50,0.9014,111,0.23,44,0.3011,43,0.2282182922,21,0.3809692821,38,0.2351634105,36,0.4756994309,22,0.4671884936,35,0.4305857728,24,0.3947711086
,38,0.0967,79,0.0407,41,0.0385,85,0.0741,130,0.1099,145,0.0417,46,0.7046,48,0.6263,145,0.3042,23,0.5012,25,0.4113015556,20,0.3701724494,40,0.3208560151,21,0.4819458749,21,0.4986321501,118,0.1494563662,59,0.1103621804
,76,0.0509,112,0.0175,130,0.0531,78,0.053,183,0.1435,112,0.1614,112,0.1014,54,0.2286,121,0.0935,34,0.2865,24,0.5619801221,21,0.4108804267,40,0.4222975092,42,0.2991162095,42,0.1921492918,45,0.5111558356,21,0.3912581926
,80,0.0586,82,0.0755,104,0.0551,99,0.1092,156,0.2958,121,0.1616,108,0.1825,149,0.1642,139,0.1309,25,0.5303,39,0.3423699288,21,0.5451612452,83,0.4200659416,12,0.1289793998,42,0.4109335805,87,0.3140774379,21,0.471635915
,50,0.117,127,0.0755,111,0.0364,113,0.055,173,0.2827,170,0.1341,150,0.1452,132,0.086,85,0.2998,73,0.3344,45,0.3163731268,36,0.2536718332,119,0.1367076452,21,0.4173938601,52,0.3990724189,20,0.3130737381,21,0.4368292849
,87,0.0918,121,0.0602,91,0.0824,75,0.0576,47,0.7247,144,0.1863,110,0.1839,103,0.3227,73,0.0592,37,0.3258,120,0.0978083184,21,0.4260546468,20,0.3386302229,70,0.4335770838,44,0.436849587,23,0.4324499077,21,0.5515334727
,74,0.0869,97,0.0536,79,0.0894,74,0.0742,153,0.2637,76,0.2493,139,0.1118,117,0.2588,133,0.0878,21,0.4138,33,0.2101867479,20,0.4668114129,20,0.4170962584,49,0.165018345,21,0.5086238782,21,0.4874371622,37,0.348070897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average,71.1,0.08134,98.8,0.06873,90.6,0.06412,84,0.07154,128.4,0.23911,134.1,0.1498,112.7,0.24507,99.7,0.32264,108.2,0.17019,35.4,0.3729,52,0.3089015357,22.3,0.4159489752,54.2,0.345995444,33.1,0.3693260272,34.6,0.4030634511,45.5,0.3891463889,33,0.3521692041
